product_id,brand,name,detalles,descripcion,material,color,peso,price,dimensiones,voltaje,potencia,garantia,fabricante,categoria_padre,sub_categoria,tags
CNTT1HQN,Carico,Olla de 1.7 Cuartos con Tapa Ultra Temp,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,Varía según modelo,649.82,1.7 Cuarto,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT3QN,Carico,Olla de 3 Cuartos con Tapa Ultra Temp,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,2 - 4 libras,630.61,3 Cuarto,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT11FN,Carico,Sartén de 11” con Tapa Ultra Temp,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,750.31,11”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT5QN,Carico,Olla de 5 Cuartos con Tapa Ultra Temp,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,799.08,5 Cuarto,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT2QND,Carico,Olla de 2 Cuartos con Tapa de Domo,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,2 - 4 libras,593.05,2 Cuarto,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT6QND,Carico,Olla de 6 Cuartos con Tapa de Domo,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,917.12,6 Cuarto,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT6PC,Carico,Juego Básico de Ollas Ulta Tech Ii de 6 Piezas,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,Varía según modelo,1687.84,6 Piezas,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT8PC,Carico,Juego Clásico de Ollas Ultra Tech Ii de 8 Piezas,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,Varía según modelo,2333.03,8 Piezas,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT10PC,Carico,Juego Clásico de Ollas Ultra Tech Ii de 10 Piezas,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,Varía según modelo,2800.8,10 Piezas,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTTBOX,Carico,Caja para Termómetros Ultra Temp,Caja accesorio para guardar los termómetros Ultra Temp,Caja accesorio para guardar los termómetros Ultra Temp,,,Varía según modelo,44.39,,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Accesorios,accesorios
CNTTCOOK,Carico,Hoja Metálica para Honrear,"Este molde hornear galletas, está fabricado de acero inoxidable quirúrgico T304 priorizando la higiene y la durabilidad.","Este molde hornear galletas, está fabricado de acero inoxidable quirúrgico T304 priorizando la higiene y la durabilidad.",Acero Quirúrgico Inoxidable,,Varía según modelo,115.73,,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Repostería,"acero quirúrgico, hornear, repostería"
CNTTCKPN,Carico,Molde Redondo para Torta de 9”,"Este molde hornear pastel, está fabricado de acero inoxidable quirúrgico T304 priorizando la higiene y la durabilidad.","Este molde hornear pastel, está fabricado de acero inoxidable quirúrgico T304 priorizando la higiene y la durabilidad.",Acero Quirúrgico Inoxidable,,2 - 4 libras,103.47,9”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Repostería,"acero quirúrgico, hornear, repostería"
CNTTPIEP,Carico,Molde Redondo para Pie de 9”,"Este molde hornear pie, está fabricado de acero inoxidable quirúrgico T304 priorizando la higiene y la durabilidad.","Este molde hornear pie, está fabricado de acero inoxidable quirúrgico T304 priorizando la higiene y la durabilidad.",Acero Quirúrgico Inoxidable,,2 - 4 libras,91.73,9”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Repostería,"acero quirúrgico, hornear, repostería"
KIT6SET,Carico,Utencilios Set de 5 Piezas,Estos utensilios totalmente higiénicos hacen que las tareas en la cocina sean más limpias y sencillas.,El colgador permite tener acceso a los utensilios y es muy fácil de instalar.,,,Varía según modelo,247.89,5 Piezas,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Utensilios,"utensilios, cocina, higiene"
AIRMCOMP1,Carico,Purificador de Aire Compacto - Negro,"La tecnología para purificar el aire de Carico es la única que aborda los 3 tipos de contaminantes del aire: partículas como polvo y polen, compuestos orgánicos volátiles como los productos químicos, pinturas y bioaerosoles como las bacterias, virus (incluyendo el que produce COVID19) y esporas de moho.","La tecnología para purificar el aire de Carico es la única que aborda los 3 tipos de contaminantes del aire: partículas como polvo y polen, compuestos orgánicos volátiles como los productos químicos, pinturas y bioaerosoles como las bacterias, virus (incluyendo el que produce COVID19) y esporas de moho.",,Negro,12 libras,1320.66,,110-120 Voltios,50 - 100 Vatios,Garantía Limitada (1-5 Años),Carico,Hogar y Salud,Purificadores de Aire,"purificador, aire limpio, filtro, salud respiratoria"
